"shortdescription","automaton","attemptautomaton"
"Construct DFA for NFA","<automaton> <alphabet> <symbol>0</symbol><symbol>1</symbol> </alphabet> 		<stateSet>		<state sid=""0""><label>0</label><posX>200</posX><posY>240</posY></state>		<state sid=""1""><label>1</label><posX>315</posX><posY>243</posY></state>		<state sid=""2""><label>2</label><posX>384</posX><posY>246</posY></state>		<state sid=""3""><label>3</label><posX>472</posX><posY>247</posY></state>		<state sid=""4""><label>4</label><posX>559</posX><posY>248</posY></state>		<state sid=""5""><label>5</label><posX>645</posX><posY>249</posY></state>	</stateSet>	<transitionSet>		<transition tid=""0"">			<from>0</from>			<to>1</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""1"">			<from>0</from>			<to>1</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""2"">			<from>1</from>			<to>0</to>			<read>ε</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""3"">			<from>1</from>			<to>2</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""4"">			<from>2</from>			<to>3</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""5"">			<from>2</from>			<to>3</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""6"">			<from>3</from>			<to>4</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""7"">			<from>3</from>			<to>4</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""8"">			<from>4</from>			<to>5</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""9"">			<from>4</from>			<to>5</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>	</transitionSet>	<acceptingSet>		<state sid=""5""></state>	</acceptingSet><initState><state sid=""0""></state></initState> </automaton>","<automaton>
  <alphabet>
 <symbol>0</symbol>
 <symbol>1</symbol>
  </alphabet>
  <stateSet>
    <state sid='0' ><label>0</label><posX>200</posX><posY>240</posY></state>
  </stateSet>
  <transitionSet>
    <transition tid='0'>
      <from>0</from>
      <to>0</to>
      <read>0</read>
      <edgeDistance>30</edgeDistance>
    </transition>
    <transition tid='1'>
      <from>0</from>
      <to>0</to>
      <read>1</read>
      <edgeDistance>30</edgeDistance>
    </transition>
  </transitionSet>
  <acceptingSet>
  </acceptingSet>
<initState><state sid='0' /></initState></automaton>
"
"Construct DFA for NFA","<automaton> <alphabet> <symbol>0</symbol><symbol>1</symbol> </alphabet> 		<stateSet>		<state sid=""0""><label>0</label><posX>200</posX><posY>240</posY></state>		<state sid=""1""><label>1</label><posX>315</posX><posY>243</posY></state>		<state sid=""2""><label>2</label><posX>384</posX><posY>246</posY></state>		<state sid=""3""><label>3</label><posX>472</posX><posY>247</posY></state>		<state sid=""4""><label>4</label><posX>559</posX><posY>248</posY></state>		<state sid=""5""><label>5</label><posX>645</posX><posY>249</posY></state>	</stateSet>	<transitionSet>		<transition tid=""0"">			<from>0</from>			<to>1</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""1"">			<from>0</from>			<to>1</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""2"">			<from>1</from>			<to>0</to>			<read>ε</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""3"">			<from>1</from>			<to>2</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""4"">			<from>2</from>			<to>3</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""5"">			<from>2</from>			<to>3</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""6"">			<from>3</from>			<to>4</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""7"">			<from>3</from>			<to>4</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""8"">			<from>4</from>			<to>5</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""9"">			<from>4</from>			<to>5</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>	</transitionSet>	<acceptingSet>		<state sid=""5""></state>	</acceptingSet><initState><state sid=""0""></state></initState> </automaton>","<automaton>
  <alphabet>
 <symbol>0</symbol>
 <symbol>1</symbol>
  </alphabet>
  <stateSet>
    <state sid='0' ><label>0</label><posX>200</posX><posY>240</posY></state>
  </stateSet>
  <transitionSet>
    <transition tid='0'>
      <from>0</from>
      <to>0</to>
      <read>0</read>
      <edgeDistance>30</edgeDistance>
    </transition>
    <transition tid='1'>
      <from>0</from>
      <to>0</to>
      <read>1</read>
      <edgeDistance>30</edgeDistance>
    </transition>
  </transitionSet>
  <acceptingSet>
  </acceptingSet>
<initState><state sid='0' /></initState></automaton>
"
"Construct DFA for NFA","<automaton> <alphabet> <symbol>0</symbol><symbol>1</symbol> </alphabet> 		<stateSet>		<state sid=""0""><label>0</label><posX>200</posX><posY>240</posY></state>		<state sid=""1""><label>1</label><posX>315</posX><posY>243</posY></state>		<state sid=""2""><label>2</label><posX>384</posX><posY>246</posY></state>		<state sid=""3""><label>3</label><posX>472</posX><posY>247</posY></state>		<state sid=""4""><label>4</label><posX>559</posX><posY>248</posY></state>		<state sid=""5""><label>5</label><posX>645</posX><posY>249</posY></state>	</stateSet>	<transitionSet>		<transition tid=""0"">			<from>0</from>			<to>1</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""1"">			<from>0</from>			<to>1</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""2"">			<from>1</from>			<to>0</to>			<read>ε</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""3"">			<from>1</from>			<to>2</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""4"">			<from>2</from>			<to>3</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""5"">			<from>2</from>			<to>3</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""6"">			<from>3</from>			<to>4</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""7"">			<from>3</from>			<to>4</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""8"">			<from>4</from>			<to>5</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""9"">			<from>4</from>			<to>5</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>	</transitionSet>	<acceptingSet>		<state sid=""5""></state>	</acceptingSet><initState><state sid=""0""></state></initState> </automaton>","<automaton>
  <alphabet>
 <symbol>0</symbol>
 <symbol>1</symbol>
  </alphabet>
  <stateSet>
    <state sid='0' ><label>0</label><posX>200</posX><posY>240</posY></state>
  </stateSet>
  <transitionSet>
    <transition tid='0'>
      <from>0</from>
      <to>0</to>
      <read>0</read>
      <edgeDistance>30</edgeDistance>
    </transition>
    <transition tid='1'>
      <from>0</from>
      <to>0</to>
      <read>1</read>
      <edgeDistance>30</edgeDistance>
    </transition>
  </transitionSet>
  <acceptingSet>
  </acceptingSet>
<initState><state sid='0' /></initState></automaton>
"
"Construct DFA for NFA","<automaton> <alphabet> <symbol>0</symbol><symbol>1</symbol> </alphabet> 		<stateSet>		<state sid=""0""><label>0</label><posX>200</posX><posY>240</posY></state>		<state sid=""1""><label>1</label><posX>315</posX><posY>243</posY></state>		<state sid=""2""><label>2</label><posX>384</posX><posY>246</posY></state>		<state sid=""3""><label>3</label><posX>472</posX><posY>247</posY></state>		<state sid=""4""><label>4</label><posX>559</posX><posY>248</posY></state>		<state sid=""5""><label>5</label><posX>645</posX><posY>249</posY></state>	</stateSet>	<transitionSet>		<transition tid=""0"">			<from>0</from>			<to>1</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""1"">			<from>0</from>			<to>1</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""2"">			<from>1</from>			<to>0</to>			<read>ε</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""3"">			<from>1</from>			<to>2</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""4"">			<from>2</from>			<to>3</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""5"">			<from>2</from>			<to>3</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""6"">			<from>3</from>			<to>4</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""7"">			<from>3</from>			<to>4</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""8"">			<from>4</from>			<to>5</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""9"">			<from>4</from>			<to>5</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>	</transitionSet>	<acceptingSet>		<state sid=""5""></state>	</acceptingSet><initState><state sid=""0""></state></initState> </automaton>","<automaton>
  <alphabet>
 <symbol>0</symbol>
 <symbol>1</symbol>
  </alphabet>
  <stateSet>
    <state sid='0' ><label>0</label><posX>200</posX><posY>240</posY></state>
  </stateSet>
  <transitionSet>
    <transition tid='0'>
      <from>0</from>
      <to>0</to>
      <read>0</read>
      <edgeDistance>30</edgeDistance>
    </transition>
    <transition tid='1'>
      <from>0</from>
      <to>0</to>
      <read>1</read>
      <edgeDistance>30</edgeDistance>
    </transition>
  </transitionSet>
  <acceptingSet>
  </acceptingSet>
<initState><state sid='0' /></initState></automaton>
"
"Construct DFA for NFA","<automaton> <alphabet> <symbol>0</symbol><symbol>1</symbol> </alphabet> 		<stateSet>		<state sid=""0""><label>0</label><posX>200</posX><posY>240</posY></state>		<state sid=""1""><label>1</label><posX>315</posX><posY>243</posY></state>		<state sid=""2""><label>2</label><posX>384</posX><posY>246</posY></state>		<state sid=""3""><label>3</label><posX>472</posX><posY>247</posY></state>		<state sid=""4""><label>4</label><posX>559</posX><posY>248</posY></state>		<state sid=""5""><label>5</label><posX>645</posX><posY>249</posY></state>	</stateSet>	<transitionSet>		<transition tid=""0"">			<from>0</from>			<to>1</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""1"">			<from>0</from>			<to>1</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""2"">			<from>1</from>			<to>0</to>			<read>ε</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""3"">			<from>1</from>			<to>2</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""4"">			<from>2</from>			<to>3</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""5"">			<from>2</from>			<to>3</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""6"">			<from>3</from>			<to>4</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""7"">			<from>3</from>			<to>4</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""8"">			<from>4</from>			<to>5</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""9"">			<from>4</from>			<to>5</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>	</transitionSet>	<acceptingSet>		<state sid=""5""></state>	</acceptingSet><initState><state sid=""0""></state></initState> </automaton>","<automaton>
  <alphabet>
 <symbol>0</symbol>
 <symbol>1</symbol>
  </alphabet>
  <stateSet>
    <state sid='0' ><label>0</label><posX>200</posX><posY>240</posY></state>
  </stateSet>
  <transitionSet>
    <transition tid='0'>
      <from>0</from>
      <to>0</to>
      <read>0</read>
      <edgeDistance>30</edgeDistance>
    </transition>
    <transition tid='1'>
      <from>0</from>
      <to>0</to>
      <read>1</read>
      <edgeDistance>30</edgeDistance>
    </transition>
  </transitionSet>
  <acceptingSet>
  </acceptingSet>
<initState><state sid='0' /></initState></automaton>
"
"Construct DFA for NFA","<automaton> <alphabet> <symbol>0</symbol><symbol>1</symbol> </alphabet> 		<stateSet>		<state sid=""0""><label>0</label><posX>200</posX><posY>240</posY></state>		<state sid=""1""><label>1</label><posX>315</posX><posY>243</posY></state>		<state sid=""2""><label>2</label><posX>384</posX><posY>246</posY></state>		<state sid=""3""><label>3</label><posX>472</posX><posY>247</posY></state>		<state sid=""4""><label>4</label><posX>559</posX><posY>248</posY></state>		<state sid=""5""><label>5</label><posX>645</posX><posY>249</posY></state>	</stateSet>	<transitionSet>		<transition tid=""0"">			<from>0</from>			<to>1</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""1"">			<from>0</from>			<to>1</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""2"">			<from>1</from>			<to>0</to>			<read>ε</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""3"">			<from>1</from>			<to>2</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""4"">			<from>2</from>			<to>3</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""5"">			<from>2</from>			<to>3</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""6"">			<from>3</from>			<to>4</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""7"">			<from>3</from>			<to>4</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""8"">			<from>4</from>			<to>5</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""9"">			<from>4</from>			<to>5</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>	</transitionSet>	<acceptingSet>		<state sid=""5""></state>	</acceptingSet><initState><state sid=""0""></state></initState> </automaton>","<automaton>
  <alphabet>
 <symbol>0</symbol>
 <symbol>1</symbol>
  </alphabet>
  <stateSet>
    <state sid='0' ><label>0</label><posX>200</posX><posY>240</posY></state>
  </stateSet>
  <transitionSet>
    <transition tid='0'>
      <from>0</from>
      <to>0</to>
      <read>0</read>
      <edgeDistance>30</edgeDistance>
    </transition>
    <transition tid='1'>
      <from>0</from>
      <to>0</to>
      <read>1</read>
      <edgeDistance>30</edgeDistance>
    </transition>
  </transitionSet>
  <acceptingSet>
  </acceptingSet>
<initState><state sid='0' /></initState></automaton>
"
"Construct DFA for NFA","<automaton> <alphabet> <symbol>0</symbol><symbol>1</symbol> </alphabet> 		<stateSet>		<state sid=""0""><label>0</label><posX>200</posX><posY>240</posY></state>		<state sid=""1""><label>1</label><posX>315</posX><posY>243</posY></state>		<state sid=""2""><label>2</label><posX>384</posX><posY>246</posY></state>		<state sid=""3""><label>3</label><posX>472</posX><posY>247</posY></state>		<state sid=""4""><label>4</label><posX>559</posX><posY>248</posY></state>		<state sid=""5""><label>5</label><posX>645</posX><posY>249</posY></state>	</stateSet>	<transitionSet>		<transition tid=""0"">			<from>0</from>			<to>1</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""1"">			<from>0</from>			<to>1</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""2"">			<from>1</from>			<to>0</to>			<read>ε</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""3"">			<from>1</from>			<to>2</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""4"">			<from>2</from>			<to>3</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""5"">			<from>2</from>			<to>3</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""6"">			<from>3</from>			<to>4</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""7"">			<from>3</from>			<to>4</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""8"">			<from>4</from>			<to>5</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""9"">			<from>4</from>			<to>5</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>	</transitionSet>	<acceptingSet>		<state sid=""5""></state>	</acceptingSet><initState><state sid=""0""></state></initState> </automaton>","<automaton>
  <alphabet>
 <symbol>0</symbol>
 <symbol>1</symbol>
  </alphabet>
  <stateSet>
    <state sid='0' ><label>0</label><posX>200</posX><posY>240</posY></state>
  </stateSet>
  <transitionSet>
    <transition tid='0'>
      <from>0</from>
      <to>0</to>
      <read>0</read>
      <edgeDistance>30</edgeDistance>
    </transition>
    <transition tid='1'>
      <from>0</from>
      <to>0</to>
      <read>1</read>
      <edgeDistance>30</edgeDistance>
    </transition>
  </transitionSet>
  <acceptingSet>
  </acceptingSet>
<initState><state sid='0' /></initState></automaton>
"
"Construct DFA for NFA","<automaton> <alphabet> <symbol>0</symbol><symbol>1</symbol> </alphabet> 		<stateSet>		<state sid=""0""><label>0</label><posX>200</posX><posY>240</posY></state>		<state sid=""1""><label>1</label><posX>315</posX><posY>243</posY></state>		<state sid=""2""><label>2</label><posX>384</posX><posY>246</posY></state>		<state sid=""3""><label>3</label><posX>472</posX><posY>247</posY></state>		<state sid=""4""><label>4</label><posX>559</posX><posY>248</posY></state>		<state sid=""5""><label>5</label><posX>645</posX><posY>249</posY></state>	</stateSet>	<transitionSet>		<transition tid=""0"">			<from>0</from>			<to>1</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""1"">			<from>0</from>			<to>1</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""2"">			<from>1</from>			<to>0</to>			<read>ε</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""3"">			<from>1</from>			<to>2</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""4"">			<from>2</from>			<to>3</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""5"">			<from>2</from>			<to>3</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""6"">			<from>3</from>			<to>4</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""7"">			<from>3</from>			<to>4</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""8"">			<from>4</from>			<to>5</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""9"">			<from>4</from>			<to>5</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>	</transitionSet>	<acceptingSet>		<state sid=""5""></state>	</acceptingSet><initState><state sid=""0""></state></initState> </automaton>","<automaton>
  <alphabet>
 <symbol>0</symbol>
 <symbol>1</symbol>
  </alphabet>
  <stateSet>
    <state sid='0' ><label>0</label><posX>200</posX><posY>240</posY></state>
  </stateSet>
  <transitionSet>
    <transition tid='0'>
      <from>0</from>
      <to>0</to>
      <read>0</read>
      <edgeDistance>30</edgeDistance>
    </transition>
    <transition tid='1'>
      <from>0</from>
      <to>0</to>
      <read>1</read>
      <edgeDistance>30</edgeDistance>
    </transition>
  </transitionSet>
  <acceptingSet>
  </acceptingSet>
<initState><state sid='0' /></initState></automaton>
"
"Construct DFA for NFA","<automaton> <alphabet> <symbol>0</symbol><symbol>1</symbol> </alphabet> 		<stateSet>		<state sid=""0""><label>0</label><posX>200</posX><posY>240</posY></state>		<state sid=""1""><label>1</label><posX>315</posX><posY>243</posY></state>		<state sid=""2""><label>2</label><posX>384</posX><posY>246</posY></state>		<state sid=""3""><label>3</label><posX>472</posX><posY>247</posY></state>		<state sid=""4""><label>4</label><posX>559</posX><posY>248</posY></state>		<state sid=""5""><label>5</label><posX>645</posX><posY>249</posY></state>	</stateSet>	<transitionSet>		<transition tid=""0"">			<from>0</from>			<to>1</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""1"">			<from>0</from>			<to>1</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""2"">			<from>1</from>			<to>0</to>			<read>ε</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""3"">			<from>1</from>			<to>2</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""4"">			<from>2</from>			<to>3</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""5"">			<from>2</from>			<to>3</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""6"">			<from>3</from>			<to>4</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""7"">			<from>3</from>			<to>4</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""8"">			<from>4</from>			<to>5</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""9"">			<from>4</from>			<to>5</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>	</transitionSet>	<acceptingSet>		<state sid=""5""></state>	</acceptingSet><initState><state sid=""0""></state></initState> </automaton>","<automaton>
  <alphabet>
 <symbol>0</symbol>
 <symbol>1</symbol>
  </alphabet>
  <stateSet>
    <state sid='0' ><label>0</label><posX>200</posX><posY>240</posY></state>
  </stateSet>
  <transitionSet>
    <transition tid='0'>
      <from>0</from>
      <to>0</to>
      <read>0</read>
      <edgeDistance>30</edgeDistance>
    </transition>
    <transition tid='1'>
      <from>0</from>
      <to>0</to>
      <read>1</read>
      <edgeDistance>30</edgeDistance>
    </transition>
  </transitionSet>
  <acceptingSet>
  </acceptingSet>
<initState><state sid='0' /></initState></automaton>
"
"Construct DFA for NFA","<automaton> <alphabet> <symbol>0</symbol><symbol>1</symbol> </alphabet> 		<stateSet>		<state sid=""0""><label>0</label><posX>200</posX><posY>240</posY></state>		<state sid=""1""><label>1</label><posX>315</posX><posY>243</posY></state>		<state sid=""2""><label>2</label><posX>384</posX><posY>246</posY></state>		<state sid=""3""><label>3</label><posX>472</posX><posY>247</posY></state>		<state sid=""4""><label>4</label><posX>559</posX><posY>248</posY></state>		<state sid=""5""><label>5</label><posX>645</posX><posY>249</posY></state>	</stateSet>	<transitionSet>		<transition tid=""0"">			<from>0</from>			<to>1</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""1"">			<from>0</from>			<to>1</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""2"">			<from>1</from>			<to>0</to>			<read>ε</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""3"">			<from>1</from>			<to>2</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""4"">			<from>2</from>			<to>3</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""5"">			<from>2</from>			<to>3</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""6"">			<from>3</from>			<to>4</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""7"">			<from>3</from>			<to>4</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""8"">			<from>4</from>			<to>5</to>			<read>0</read>			<edgeDistance>30</edgeDistance>		</transition>		<transition tid=""9"">			<from>4</from>			<to>5</to>			<read>1</read>			<edgeDistance>30</edgeDistance>		</transition>	</transitionSet>	<acceptingSet>		<state sid=""5""></state>	</acceptingSet><initState><state sid=""0""></state></initState> </automaton>","<automaton>
  <alphabet>
 <symbol>0</symbol>
 <symbol>1</symbol>
  </alphabet>
  <stateSet>
    <state sid='0' ><label>0</label><posX>200</posX><posY>240</posY></state>
  </stateSet>
  <transitionSet>
    <transition tid='0'>
      <from>0</from>
      <to>0</to>
      <read>0</read>
      <edgeDistance>30</edgeDistance>
    </transition>
    <transition tid='1'>
      <from>0</from>
      <to>0</to>
      <read>1</read>
      <edgeDistance>30</edgeDistance>
    </transition>
  </transitionSet>
  <acceptingSet>
  </acceptingSet>
<initState><state sid='0' /></initState></automaton>
"
