"shortdescription","regex","attemptregex"
"At least one zero followed by 0 or more 1s","0+1*","0*1*"
"At least one zero followed by 0 or more 1s","0+1*","00*1*"
"At least one zero followed by 0 or more 1s","0+1*","01"
"At least one zero followed by 0 or more 1s","0+1*","01*"
"At least one zero followed by 0 or more 1s","0+1*","0*1+"
"At least one zero followed by 0 or more 1s","0+1*","0+1+"
"At least one zero followed by 0 or more 1s","0+1*","0+1*"
"Same number of occurances of ""01"" and ""10""","(0(0*|1+0)*)|(1(1*|0+1)*)","0011"
"Same number of occurances of ""01"" and ""10""","(0(0*|1+0)*)|(1(1*|0+1)*)","0(1*0)*"
"Same number of occurances of ""01"" and ""10""","(0(0*|1+0)*)|(1(1*|0+1)*)","0(1*0)*|1(0*1)*"
"Same number of occurances of ""01"" and ""10""","(0(0*|1+0)*)|(1(1*|0+1)*)","0(0*|1+0)*|1(1*|0+1)*"
"Same number of occurances of ""01"" and ""10""","(0(0*|1+0)*)|(1(1*|0+1)*)","0(0*|1*0)*|1(1*|0*1)*"
"Same number of occurances of ""01"" and ""10""","(0(0*|1+0)*)|(1(1*|0+1)*)","0(0*|1*0)*|1(1*|0*1)*"
"Same number of occurances of ""01"" and ""10""","(0(0*|1+0)*)|(1(1*|0+1)*)","0(0*|1*0)*|1(1*|0*1)*"
"Same number of occurances of ""01"" and ""10""","(0(0*|1+0)*)|(1(1*|0+1)*)","0(0*|1*0)*|1(1*|0*1)*"
"An even number of 1's","(0|10*1)*","0*(0*|10*1)*"
"An even number of 1's","(0|10*1)*","0*(0*|10*1)+"
"An even number of 1's","(0|10*1)*","(0*|10*1)+"
"An even number of 1's","(0|10*1)*","(0+|10*1)*"
"An even number of 1's","(0|10*1)*","(0+|10*1)+"
"An even number of 1's","(0|10*1)*","(0*|101)+"
"An even number of 1's","(0|10*1)*","(0*|10+1)+"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","00(0|1)*00"
"Same number of occurances of ""01"" and ""10""","(0(0*|1+0)*)|(1(1*|0+1)*)","0(0*1+0+)*|1(1*0+1+)*"
"Same number of occurances of ""01"" and ""10""","(0(0*|1+0)*)|(1(1*|0+1)*)","(0(0*|(0*1+0+))*|1(1*|1*0+1+)*)?"
"Same number of occurances of ""01"" and ""10""","(0(0*|1+0)*)|(1(1*|0+1)*)","(0(0*(0*1+0+))*|1(1*|1*0+1+)*)?"
"An even number of 1's","(0|10*1)*","(10*1)*"
"An even number of 1's","(0|10*1)*","(0*10*1)*"
"An even number of 1's","(0|10*1)*","(0*|10*1)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(01*0)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((01*0)|(10*1))*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0*1*0*)|(1*0*1*))*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0*1*0+)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0*1*0+)*|(1*0*1+)*"
"An even number of 1's","(0|10*1)*","0*(10*1)*0*"
"An even number of 1's","(0|10*1)*","0*(10*1|0*)*0*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0+1*0+|1+0*1+)*|0*|1*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0+1+)+0+|(1+0+)+1+|0*|1*"
"An even number of 1's","(0|10*1)*","(0*)(10*10*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0(0|1)*1)|(1(1|0)*0)"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0(0|1)*0)|(1(1|0)*1)"
"An even number of 1's","(0|10*1)*","0*(10*1)*0*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","00*(1*0*)*00*"
"An even number of 1's","(0|10*1)*","(11)*"
"An even number of 1's","(0|10*1)*","(0*(11)*0*)*"
